model,total,correct,accuracy,exact,alias,avg_fuzzy,elapsed_s,error
azure_openai:gpt-4o,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
azure_openai:gpt-5,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
azure_openai:gpt-5-mini,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
azure_openai:gpt-5-nano,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
azure_openai:gpt-5-chat,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
azure_openai:o3-pro,5,0,0.0,0,0,0.0,0,Environment variable AZURE_OPENAI_BASE_URL not set
openrouter:openai/gpt-4o-mini,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
openrouter:meta-llama/llama-3.1-405b-instruct,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
openrouter:qwen/qwen-2.5-72b-instruct,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
openrouter:meta-llama/llama-3.1-8b-instruct,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
openrouter:qwen/qwen-2.5-7b-instruct,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
openrouter:mistralai/mistral-7b-instruct,5,0,0.0,0,0,0.0,0,Environment variable OPENROUTER_BASE_URL not set
groq:llama-3.3-70b-versatile,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:deepseek-r1-distill-llama-70b,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:qwen/qwen3-32b,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:gemma2-9b-it,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:llama-3.1-8b-instant,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:openai/gpt-oss-120b,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
groq:moonshotai/kimi-k2-instruct,5,0,0.0,0,0,0.0,0,Environment variable GROQ_BASE_URL not set
